M49,AREA,Year,Series,Value
466,Mali,2005,"Safely managed sanitation facilities, total of Proportion of population with access",10.4371
466,Mali,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",8.3252
466,Mali,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",16.903
466,Mali,2010,"Safely managed sanitation facilities, total of Proportion of population with access",13.8151
466,Mali,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",9.1114
466,Mali,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",25.5384
466,Mali,2017,"Safely managed sanitation facilities, total of Proportion of population with access",18.7094
470,Malta,2005,"Safely managed drinking water sources, total of Proportion of population with access",100
470,Malta,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",93.0154
470,Malta,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",93.025
470,Malta,2005,"Safely managed sanitation facilities, total of Proportion of population with access",93.016
470,Malta,2010,"Safely managed drinking water sources, total of Proportion of population with access",100
470,Malta,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",93.0014
470,Malta,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",93.025
470,Malta,2010,"Safely managed sanitation facilities, total of Proportion of population with access",93.0028
470,Malta,2017,"Safely managed drinking water sources, total of Proportion of population with access",100
470,Malta,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",92.9817
470,Malta,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",93.025
470,Malta,2017,"Safely managed sanitation facilities, total of Proportion of population with access",92.9841
474,Martinique,2005,"Safely managed drinking water sources, total of Proportion of population with access",99.0535
474,Martinique,2010,"Safely managed drinking water sources, total of Proportion of population with access",99.1262
474,Martinique,2017,"Safely managed drinking water sources, total of Proportion of population with access",98.8641
175,Mayotte,2010,"Safely managed drinking water sources, total of Proportion of population with access",83.7155
175,Mayotte,2017,"Safely managed drinking water sources, total of Proportion of population with access",83.7155
484,Mexico,2005,"Safely managed drinking water sources, total of Proportion of population with access",40.1488
484,Mexico,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",24.2973
484,Mexico,2005,"Safely managed sanitation facilities, total of Proportion of population with access",23.7808
484,Mexico,2010,"Safely managed drinking water sources, total of Proportion of population with access",41.3345
484,Mexico,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",35.2823
484,Mexico,2010,"Safely managed sanitation facilities, total of Proportion of population with access",34.1356
484,Mexico,2017,"Safely managed drinking water sources, total of Proportion of population with access",42.8703
484,Mexico,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",52.2624
484,Mexico,2017,"Safely managed sanitation facilities, total of Proportion of population with access",50.4051
492,Monaco,2005,"Safely managed drinking water sources, urban of Proportion of population with access",100
492,Monaco,2005,"Safely managed drinking water sources, total of Proportion of population with access",100
492,Monaco,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",100
492,Monaco,2005,"Safely managed sanitation facilities, total of Proportion of population with access",100
492,Monaco,2010,"Safely managed drinking water sources, urban of Proportion of population with access",100
492,Monaco,2010,"Safely managed drinking water sources, total of Proportion of population with access",100
492,Monaco,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",100
492,Monaco,2010,"Safely managed sanitation facilities, total of Proportion of population with access",100
492,Monaco,2017,"Safely managed drinking water sources, urban of Proportion of population with access",100
492,Monaco,2017,"Safely managed drinking water sources, total of Proportion of population with access",100
492,Monaco,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",100
492,Monaco,2017,"Safely managed sanitation facilities, total of Proportion of population with access",100
496,Mongolia,2005,"Safely managed drinking water sources, total of Proportion of population with access",23.5174
496,Mongolia,2010,"Safely managed drinking water sources, total of Proportion of population with access",24.332
496,Mongolia,2017,"Safely managed drinking water sources, total of Proportion of population with access",23.7221
499,Montenegro,2010,"Safely managed drinking water sources, urban of Proportion of population with access",94.6035
499,Montenegro,2010,"Safely managed drinking water sources, total of Proportion of population with access",89.1203
499,Montenegro,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",30.6052
499,Montenegro,2017,"Safely managed drinking water sources, urban of Proportion of population with access",93.8286
499,Montenegro,2017,"Safely managed drinking water sources, total of Proportion of population with access",93.5969
499,Montenegro,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",29.8087
504,Morocco,2005,"Safely managed drinking water sources, urban of Proportion of population with access",86.9913
504,Morocco,2005,"Safely managed drinking water sources, rural of Proportion of population with access",25.5151
504,Morocco,2005,"Safely managed drinking water sources, total of Proportion of population with access",59.434
504,Morocco,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",37.9616
504,Morocco,2005,"Safely managed sanitation facilities, total of Proportion of population with access",34.5929
504,Morocco,2010,"Safely managed drinking water sources, urban of Proportion of population with access",87.8725
504,Morocco,2010,"Safely managed drinking water sources, rural of Proportion of population with access",32.0691
504,Morocco,2010,"Safely managed drinking water sources, total of Proportion of population with access",64.4452
504,Morocco,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",39.4488
504,Morocco,2010,"Safely managed sanitation facilities, total of Proportion of population with access",36.8898
504,Morocco,2017,"Safely managed drinking water sources, urban of Proportion of population with access",88.93
504,Morocco,2017,"Safely managed drinking water sources, rural of Proportion of population with access",39.934
504,Morocco,2017,"Safely managed drinking water sources, total of Proportion of population with access",70.2664
504,Morocco,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",40.2304
504,Morocco,2017,"Safely managed sanitation facilities, total of Proportion of population with access",38.7502
508,Mozambique,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",5.5959
508,Mozambique,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",9.8455
508,Mozambique,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",16.2713
524,Nepal,2005,"Safely managed drinking water sources, urban of Proportion of population with access",34.6979
524,Nepal,2005,"Safely managed drinking water sources, rural of Proportion of population with access",23.2162
524,Nepal,2005,"Safely managed drinking water sources, total of Proportion of population with access",24.9555
524,Nepal,2010,"Safely managed drinking water sources, urban of Proportion of population with access",34.4578
524,Nepal,2010,"Safely managed drinking water sources, rural of Proportion of population with access",24.2072
524,Nepal,2010,"Safely managed drinking water sources, total of Proportion of population with access",25.926
524,Nepal,2017,"Safely managed drinking water sources, urban of Proportion of population with access",34.1217
524,Nepal,2017,"Safely managed drinking water sources, rural of Proportion of population with access",25.5946
524,Nepal,2017,"Safely managed drinking water sources, total of Proportion of population with access",27.2434
528,Netherlands,2005,"Safely managed drinking water sources, total of Proportion of population with access",99.9874
528,Netherlands,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",97.46
528,Netherlands,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",97.4328
528,Netherlands,2005,"Safely managed sanitation facilities, total of Proportion of population with access",97.4553
528,Netherlands,2010,"Safely managed drinking water sources, total of Proportion of population with access",99.9709
528,Netherlands,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",97.4667
528,Netherlands,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",97.438
528,Netherlands,2010,"Safely managed sanitation facilities, total of Proportion of population with access",97.463
528,Netherlands,2017,"Safely managed drinking water sources, total of Proportion of population with access",99.951
528,Netherlands,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",97.476
528,Netherlands,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",97.4453
528,Netherlands,2017,"Safely managed sanitation facilities, total of Proportion of population with access",97.4733
540,New Caledonia,2005,"Safely managed drinking water sources, total of Proportion of population with access",88.6755
540,New Caledonia,2010,"Safely managed drinking water sources, total of Proportion of population with access",92.8252
540,New Caledonia,2017,"Safely managed drinking water sources, total of Proportion of population with access",96.6609
554,New Zealand,2005,"Safely managed drinking water sources, total of Proportion of population with access",78.117
554,New Zealand,2005,"Safely managed sanitation facilities, total of Proportion of population with access",81.5338
554,New Zealand,2010,"Safely managed drinking water sources, total of Proportion of population with access",88.6655
554,New Zealand,2010,"Safely managed sanitation facilities, total of Proportion of population with access",84.4876
554,New Zealand,2017,"Safely managed drinking water sources, total of Proportion of population with access",100
554,New Zealand,2017,"Safely managed sanitation facilities, total of Proportion of population with access",88.6793
558,Nicaragua,2005,"Safely managed drinking water sources, urban of Proportion of population with access",66.5817
558,Nicaragua,2005,"Safely managed drinking water sources, rural of Proportion of population with access",30.0948
558,Nicaragua,2005,"Safely managed drinking water sources, total of Proportion of population with access",50.5038
558,Nicaragua,2010,"Safely managed drinking water sources, urban of Proportion of population with access",66.9584
558,Nicaragua,2010,"Safely managed drinking water sources, rural of Proportion of population with access",29.8235
558,Nicaragua,2010,"Safely managed drinking water sources, total of Proportion of population with access",50.9596
558,Nicaragua,2017,"Safely managed drinking water sources, urban of Proportion of population with access",67.4103
558,Nicaragua,2017,"Safely managed drinking water sources, rural of Proportion of population with access",29.498
558,Nicaragua,2017,"Safely managed drinking water sources, total of Proportion of population with access",51.6005
562,Niger,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",17.9583
562,Niger,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",3.1976
562,Niger,2005,"Safely managed sanitation facilities, total of Proportion of population with access",5.595
562,Niger,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",20.3122
562,Niger,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",4.9656
562,Niger,2010,"Safely managed sanitation facilities, total of Proportion of population with access",7.4549
562,Niger,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",23.4282
562,Niger,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",6.9029
562,Niger,2017,"Safely managed sanitation facilities, total of Proportion of population with access",9.6048
566,Nigeria,2005,"Safely managed drinking water sources, urban of Proportion of population with access",23.7877
566,Nigeria,2005,"Safely managed drinking water sources, rural of Proportion of population with access",12.6187
566,Nigeria,2005,"Safely managed drinking water sources, total of Proportion of population with access",16.9829
566,Nigeria,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",25.6899
566,Nigeria,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",24.8691
566,Nigeria,2005,"Safely managed sanitation facilities, total of Proportion of population with access",25.1898
566,Nigeria,2010,"Safely managed drinking water sources, urban of Proportion of population with access",24.1431
566,Nigeria,2010,"Safely managed drinking water sources, rural of Proportion of population with access",13.9841
566,Nigeria,2010,"Safely managed drinking water sources, total of Proportion of population with access",18.4012
566,Nigeria,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",27.4244
566,Nigeria,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",24.5787
566,Nigeria,2010,"Safely managed sanitation facilities, total of Proportion of population with access",25.816
566,Nigeria,2017,"Safely managed drinking water sources, urban of Proportion of population with access",24.6406
566,Nigeria,2017,"Safely managed drinking water sources, rural of Proportion of population with access",15.7104
566,Nigeria,2017,"Safely managed drinking water sources, total of Proportion of population with access",20.1326
566,Nigeria,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",29.5037
566,Nigeria,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",23.8599
566,Nigeria,2017,"Safely managed sanitation facilities, total of Proportion of population with access",26.6546
570,Niue,2005,"Safely managed drinking water sources, total of Proportion of population with access",98.1233
570,Niue,2010,"Safely managed drinking water sources, total of Proportion of population with access",97.5567
570,Niue,2017,"Safely managed drinking water sources, total of Proportion of population with access",97.2168
580,Northern Mariana Islands,2005,"Safely managed drinking water sources, total of Proportion of population with access",83.6882
580,Northern Mariana Islands,2010,"Safely managed drinking water sources, total of Proportion of population with access",86.5403
580,Northern Mariana Islands,2017,"Safely managed drinking water sources, total of Proportion of population with access",90.2433
578,Norway,2005,"Safely managed drinking water sources, total of Proportion of population with access",100
578,Norway,2005,"Safely managed sanitation facilities, total of Proportion of population with access",73.9192
578,Norway,2010,"Safely managed drinking water sources, total of Proportion of population with access",99.4157
578,Norway,2010,"Safely managed sanitation facilities, total of Proportion of population with access",74.8976
578,Norway,2017,"Safely managed drinking water sources, total of Proportion of population with access",98.343
578,Norway,2017,"Safely managed sanitation facilities, total of Proportion of population with access",76.3175
512,Oman,2005,"Safely managed drinking water sources, total of Proportion of population with access",75.079
512,Oman,2010,"Safely managed drinking water sources, total of Proportion of population with access",82.5493
512,Oman,2017,"Safely managed drinking water sources, total of Proportion of population with access",90.275
586,Pakistan,2005,"Safely managed drinking water sources, urban of Proportion of population with access",49.3304
586,Pakistan,2005,"Safely managed drinking water sources, rural of Proportion of population with access",31.8984
586,Pakistan,2005,"Safely managed drinking water sources, total of Proportion of population with access",37.8221
586,Pakistan,2010,"Safely managed drinking water sources, urban of Proportion of population with access",45.3863
586,Pakistan,2010,"Safely managed drinking water sources, rural of Proportion of population with access",32.2026
586,Pakistan,2010,"Safely managed drinking water sources, total of Proportion of population with access",36.8165
586,Pakistan,2017,"Safely managed drinking water sources, urban of Proportion of population with access",39.9989
586,Pakistan,2017,"Safely managed drinking water sources, rural of Proportion of population with access",32.6284
586,Pakistan,2017,"Safely managed drinking water sources, total of Proportion of population with access",35.3144
600,Paraguay,2005,"Safely managed drinking water sources, urban of Proportion of population with access",68.9799
600,Paraguay,2005,"Safely managed drinking water sources, rural of Proportion of population with access",33.8871
600,Paraguay,2005,"Safely managed drinking water sources, total of Proportion of population with access",54.1121
600,Paraguay,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",50.6579
600,Paraguay,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",45.2792
600,Paraguay,2005,"Safely managed sanitation facilities, total of Proportion of population with access",48.3791
600,Paraguay,2010,"Safely managed drinking water sources, urban of Proportion of population with access",70.3328
600,Paraguay,2010,"Safely managed drinking water sources, rural of Proportion of population with access",41.0326
600,Paraguay,2010,"Safely managed drinking water sources, total of Proportion of population with access",58.3962
600,Paraguay,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",51.8663
600,Paraguay,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",54.0813
600,Paraguay,2010,"Safely managed sanitation facilities, total of Proportion of population with access",52.7687
600,Paraguay,2017,"Safely managed drinking water sources, urban of Proportion of population with access",72.2065
600,Paraguay,2017,"Safely managed drinking water sources, rural of Proportion of population with access",50.7287
600,Paraguay,2017,"Safely managed drinking water sources, total of Proportion of population with access",63.8946
600,Paraguay,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",53.5615
600,Paraguay,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",66.2427
600,Paraguay,2017,"Safely managed sanitation facilities, total of Proportion of population with access",58.4692
604,Peru,2005,"Safely managed drinking water sources, urban of Proportion of population with access",57.2006
604,Peru,2005,"Safely managed drinking water sources, rural of Proportion of population with access",16.0186
604,Peru,2005,"Safely managed drinking water sources, total of Proportion of population with access",46.9191
604,Peru,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",23.724
604,Peru,2005,"Safely managed sanitation facilities, total of Proportion of population with access",19.6209
604,Peru,2010,"Safely managed drinking water sources, urban of Proportion of population with access",57.882
604,Peru,2010,"Safely managed drinking water sources, rural of Proportion of population with access",17.9903
604,Peru,2010,"Safely managed drinking water sources, total of Proportion of population with access",48.4796
604,Peru,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",34.8505
604,Peru,2010,"Safely managed sanitation facilities, total of Proportion of population with access",28.7748
604,Peru,2017,"Safely managed drinking water sources, urban of Proportion of population with access",58.8361
604,Peru,2017,"Safely managed drinking water sources, rural of Proportion of population with access",20.7507
604,Peru,2017,"Safely managed drinking water sources, total of Proportion of population with access",50.3507
604,Peru,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",51.2256
604,Peru,2017,"Safely managed sanitation facilities, total of Proportion of population with access",42.7647
608,Philippines,2005,"Safely managed drinking water sources, urban of Proportion of population with access",60.2747
608,Philippines,2005,"Safely managed drinking water sources, rural of Proportion of population with access",30.7197
608,Philippines,2005,"Safely managed drinking water sources, total of Proportion of population with access",44.2293
608,Philippines,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",48.8569
608,Philippines,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",38.7248
608,Philippines,2005,"Safely managed sanitation facilities, total of Proportion of population with access",43.3562
608,Philippines,2010,"Safely managed drinking water sources, urban of Proportion of population with access",60.7718
608,Philippines,2010,"Safely managed drinking water sources, rural of Proportion of population with access",32.2832
608,Philippines,2010,"Safely managed drinking water sources, total of Proportion of population with access",45.1976
608,Philippines,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",50.6708
608,Philippines,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",42.9343
608,Philippines,2010,"Safely managed sanitation facilities, total of Proportion of population with access",46.4414
608,Philippines,2017,"Safely managed drinking water sources, urban of Proportion of population with access",61.4678
608,Philippines,2017,"Safely managed drinking water sources, rural of Proportion of population with access",33.684
608,Philippines,2017,"Safely managed drinking water sources, total of Proportion of population with access",46.654
608,Philippines,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",53.9882
608,Philippines,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",49.5844
608,Philippines,2017,"Safely managed sanitation facilities, total of Proportion of population with access",51.6401
616,Poland,2005,"Safely managed drinking water sources, total of Proportion of population with access",94.0338
616,Poland,2005,"Safely managed sanitation facilities, total of Proportion of population with access",83.0908
616,Poland,2010,"Safely managed drinking water sources, total of Proportion of population with access",95.3497
616,Poland,2010,"Safely managed sanitation facilities, total of Proportion of population with access",87.689
616,Poland,2017,"Safely managed drinking water sources, total of Proportion of population with access",99.1561
616,Poland,2017,"Safely managed sanitation facilities, total of Proportion of population with access",93.2525
620,Portugal,2005,"Safely managed drinking water sources, total of Proportion of population with access",94.1134
620,Portugal,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",58.4968
620,Portugal,2005,"Safely managed sanitation facilities, total of Proportion of population with access",54.2728
620,Portugal,2010,"Safely managed drinking water sources, total of Proportion of population with access",94.7899
620,Portugal,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",74.0572
620,Portugal,2010,"Safely managed sanitation facilities, total of Proportion of population with access",67.8366
620,Portugal,2017,"Safely managed drinking water sources, total of Proportion of population with access",95.3119
620,Portugal,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",92.6737
620,Portugal,2017,"Safely managed sanitation facilities, total of Proportion of population with access",84.7075
630,Puerto Rico,2005,"Safely managed drinking water sources, total of Proportion of population with access",75.0283
630,Puerto Rico,2005,"Safely managed sanitation facilities, total of Proportion of population with access",32.5451
630,Puerto Rico,2010,"Safely managed drinking water sources, total of Proportion of population with access",80.3141
630,Puerto Rico,2010,"Safely managed sanitation facilities, total of Proportion of population with access",32.5447
630,Puerto Rico,2017,"Safely managed drinking water sources, total of Proportion of population with access",94.085
630,Puerto Rico,2017,"Safely managed sanitation facilities, total of Proportion of population with access",32.5441
634,Qatar,2005,"Safely managed drinking water sources, total of Proportion of population with access",96.6
634,Qatar,2005,"Safely managed sanitation facilities, total of Proportion of population with access",86.2797
634,Qatar,2010,"Safely managed drinking water sources, total of Proportion of population with access",96.6
634,Qatar,2010,"Safely managed sanitation facilities, total of Proportion of population with access",88.45
634,Qatar,2017,"Safely managed drinking water sources, total of Proportion of population with access",96.1828
634,Qatar,2017,"Safely managed sanitation facilities, total of Proportion of population with access",96.0315
410,Republic of Korea,2005,"Safely managed drinking water sources, total of Proportion of population with access",96.8221
410,Republic of Korea,2005,"Safely managed sanitation facilities, total of Proportion of population with access",90.8348
410,Republic of Korea,2010,"Safely managed drinking water sources, total of Proportion of population with access",97.7168
410,Republic of Korea,2010,"Safely managed sanitation facilities, total of Proportion of population with access",95.6794
410,Republic of Korea,2017,"Safely managed drinking water sources, total of Proportion of population with access",98.2139
410,Republic of Korea,2017,"Safely managed sanitation facilities, total of Proportion of population with access",99.9043
498,Republic of Moldova,2005,"Safely managed drinking water sources, total of Proportion of population with access",50.4607
498,Republic of Moldova,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",74.0549
498,Republic of Moldova,2010,"Safely managed drinking water sources, total of Proportion of population with access",62.1708
498,Republic of Moldova,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",75.1899
498,Republic of Moldova,2017,"Safely managed drinking water sources, total of Proportion of population with access",72.8779
498,Republic of Moldova,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",77.8977
638,Réunion,2005,"Safely managed drinking water sources, total of Proportion of population with access",95.7806
638,Réunion,2010,"Safely managed drinking water sources, total of Proportion of population with access",95.97
638,Réunion,2017,"Safely managed drinking water sources, total of Proportion of population with access",96.1792
642,Romania,2005,"Safely managed drinking water sources, total of Proportion of population with access",81.7001
642,Romania,2005,"Safely managed sanitation facilities, total of Proportion of population with access",55.6641
642,Romania,2010,"Safely managed drinking water sources, total of Proportion of population with access",81.8855
642,Romania,2010,"Safely managed sanitation facilities, total of Proportion of population with access",63.3156
642,Romania,2017,"Safely managed drinking water sources, total of Proportion of population with access",81.9158
642,Romania,2017,"Safely managed sanitation facilities, total of Proportion of population with access",76.5407
643,Russian Federation,2005,"Safely managed drinking water sources, total of Proportion of population with access",74.906
643,Russian Federation,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",61.404
643,Russian Federation,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",43.5923
643,Russian Federation,2005,"Safely managed sanitation facilities, total of Proportion of population with access",56.6773
643,Russian Federation,2010,"Safely managed drinking water sources, total of Proportion of population with access",75.3466
643,Russian Federation,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",62.2311
643,Russian Federation,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",48.361
643,Russian Federation,2010,"Safely managed sanitation facilities, total of Proportion of population with access",58.5814
643,Russian Federation,2017,"Safely managed drinking water sources, total of Proportion of population with access",76.0277
643,Russian Federation,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",63.4078
643,Russian Federation,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",55.2331
643,Russian Federation,2017,"Safely managed sanitation facilities, total of Proportion of population with access",61.3062
646,Rwanda,2005,"Safely managed drinking water sources, urban of Proportion of population with access",29.6811
646,Rwanda,2010,"Safely managed drinking water sources, urban of Proportion of population with access",35.2403
646,Rwanda,2017,"Safely managed drinking water sources, urban of Proportion of population with access",43.449
654,Saint Helena,2005,"Safely managed drinking water sources, total of Proportion of population with access",88.6894
654,Saint Helena,2010,"Safely managed drinking water sources, total of Proportion of population with access",88.8695
654,Saint Helena,2017,"Safely managed drinking water sources, total of Proportion of population with access",89.1846
666,Saint Pierre and Miquelon,2010,"Safely managed drinking water sources, total of Proportion of population with access",83.1283
666,Saint Pierre and Miquelon,2017,"Safely managed drinking water sources, total of Proportion of population with access",83.1283
882,Samoa,2005,"Safely managed drinking water sources, total of Proportion of population with access",57.2375
882,Samoa,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",40.4953
882,Samoa,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",52.0277
882,Samoa,2005,"Safely managed sanitation facilities, total of Proportion of population with access",49.5808
882,Samoa,2010,"Safely managed drinking water sources, total of Proportion of population with access",57.9858
882,Samoa,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",39.6209
882,Samoa,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",51.784
882,Samoa,2010,"Safely managed sanitation facilities, total of Proportion of population with access",49.3419
882,Samoa,2017,"Safely managed drinking water sources, total of Proportion of population with access",58.8211
882,Samoa,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",37.7408
882,Samoa,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",50.8948
882,Samoa,2017,"Safely managed sanitation facilities, total of Proportion of population with access",48.4677
674,San Marino,2005,"Safely managed drinking water sources, total of Proportion of population with access",100
674,San Marino,2005,"Safely managed sanitation facilities, total of Proportion of population with access",77.2261
674,San Marino,2010,"Safely managed drinking water sources, total of Proportion of population with access",100
674,San Marino,2010,"Safely managed sanitation facilities, total of Proportion of population with access",77.2261
674,San Marino,2017,"Safely managed drinking water sources, total of Proportion of population with access",100
674,San Marino,2017,"Safely managed sanitation facilities, total of Proportion of population with access",77.2261
682,Saudi Arabia,2005,"Safely managed sanitation facilities, total of Proportion of population with access",69.8279
682,Saudi Arabia,2010,"Safely managed sanitation facilities, total of Proportion of population with access",73.1157
682,Saudi Arabia,2017,"Safely managed sanitation facilities, total of Proportion of population with access",77.7521
686,Senegal,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",16.0527
686,Senegal,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",15.5852
686,Senegal,2005,"Safely managed sanitation facilities, total of Proportion of population with access",15.7802
686,Senegal,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",16.879
686,Senegal,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",17.8467
686,Senegal,2010,"Safely managed sanitation facilities, total of Proportion of population with access",17.4231
686,Senegal,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",21.8646
686,Senegal,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",21.097
686,Senegal,2017,"Safely managed sanitation facilities, total of Proportion of population with access",21.4558
688,Serbia,2005,"Safely managed drinking water sources, urban of Proportion of population with access",81.4941
688,Serbia,2005,"Safely managed drinking water sources, rural of Proportion of population with access",66.5146
688,Serbia,2005,"Safely managed drinking water sources, total of Proportion of population with access",74.586
688,Serbia,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",18.7584
688,Serbia,2005,"Safely managed sanitation facilities, total of Proportion of population with access",26.6267
688,Serbia,2010,"Safely managed drinking water sources, urban of Proportion of population with access",81.4143
688,Serbia,2010,"Safely managed drinking water sources, rural of Proportion of population with access",66.4458
688,Serbia,2010,"Safely managed drinking water sources, total of Proportion of population with access",74.6774
688,Serbia,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",20.2157
688,Serbia,2010,"Safely managed sanitation facilities, total of Proportion of population with access",25.0945
688,Serbia,2017,"Safely managed drinking water sources, urban of Proportion of population with access",81.3186
688,Serbia,2017,"Safely managed drinking water sources, rural of Proportion of population with access",66.3632
688,Serbia,2017,"Safely managed drinking water sources, total of Proportion of population with access",74.7295
688,Serbia,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",23.1918
688,Serbia,2017,"Safely managed sanitation facilities, total of Proportion of population with access",24.7261
694,Sierra Leone,2005,"Safely managed drinking water sources, urban of Proportion of population with access",11.0168
694,Sierra Leone,2005,"Safely managed drinking water sources, rural of Proportion of population with access",2.8694
694,Sierra Leone,2005,"Safely managed drinking water sources, total of Proportion of population with access",5.8774
694,Sierra Leone,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",17.4604
694,Sierra Leone,2005,"Safely managed sanitation facilities, rural of Proportion of population with access",5.5588
694,Sierra Leone,2005,"Safely managed sanitation facilities, total of Proportion of population with access",9.9527
694,Sierra Leone,2010,"Safely managed drinking water sources, urban of Proportion of population with access",11.4775
694,Sierra Leone,2010,"Safely managed drinking water sources, rural of Proportion of population with access",4.8082
694,Sierra Leone,2010,"Safely managed drinking water sources, total of Proportion of population with access",7.3996
694,Sierra Leone,2010,"Safely managed sanitation facilities, urban of Proportion of population with access",18.6123
694,Sierra Leone,2010,"Safely managed sanitation facilities, rural of Proportion of population with access",6.7076
694,Sierra Leone,2010,"Safely managed sanitation facilities, total of Proportion of population with access",11.3333
694,Sierra Leone,2017,"Safely managed drinking water sources, urban of Proportion of population with access",12.1226
694,Sierra Leone,2017,"Safely managed drinking water sources, rural of Proportion of population with access",8.3472
694,Sierra Leone,2017,"Safely managed drinking water sources, total of Proportion of population with access",9.9191
694,Sierra Leone,2017,"Safely managed sanitation facilities, urban of Proportion of population with access",20.2721
694,Sierra Leone,2017,"Safely managed sanitation facilities, rural of Proportion of population with access",8.411
694,Sierra Leone,2017,"Safely managed sanitation facilities, total of Proportion of population with access",13.3495
702,Singapore,2005,"Safely managed drinking water sources, urban of Proportion of population with access",100
702,Singapore,2005,"Safely managed drinking water sources, total of Proportion of population with access",100
702,Singapore,2005,"Safely managed sanitation facilities, urban of Proportion of population with access",100
